OrderID,Date,CustomerID,Age,City,Category,Quantity,Price,Income
1082,2023-03-23,243,25.0,Delhi,Electronics,3,100,50000.0
1083,2023-03-24,233,35.0,Delhi,Electronics,9,100,90000.0
1084,2023-03-25,273,35.0,,Electronics,2,500,90000.0
1085,2023-03-26,261,35.0,Bangalore,Electronics,4,,70000.0
1086,2023-03-27,299,40.0,Delhi,Clothing,6,100,70000.0
1087,2023-03-28,213,25.0,Pune,Grocery,2,,90000.0
1088,2023-03-29,294,40.0,Pune,Electronics,8,100,70000.0
1089,2023-03-30,247,35.0,Mumbai,Clothing,8,200,30000.0
1090,2023-03-31,214,25.0,Delhi,Clothing,1,1000,70000.0
1091,2023-04-01,271,40.0,Bangalore,Grocery,3,100,
1092,2023-04-02,277,40.0,,Electronics,9,,70000.0
1093,2023-04-03,286,35.0,,Grocery,5,200,50000.0
1094,2023-04-04,261,25.0,Bangalore,Electronics,6,100,30000.0
1095,2023-04-05,239,35.0,Mumbai,Clothing,4,500,50000.0
1096,2023-04-06,284,25.0,,Clothing,2,1000,50000.0
1097,2023-04-07,279,,Delhi,Clothing,8,100,
1098,2023-04-08,281,30.0,Mumbai,Clothing,6,200,30000.0
1099,2023-04-09,252,30.0,Delhi,Grocery,5,500,30000.0
1100,2023-04-10,223,30.0,Pune,Electronics,9,200,30000.0
1101,2023-04-11,225,35.0,Mumbai,Electronics,1,200,30000.0
1102,2023-04-12,288,,,Grocery,5,500,30000.0
1103,2023-04-13,259,25.0,Mumbai,Electronics,6,200,
1104,2023-04-14,240,40.0,Mumbai,Clothing,5,500,70000.0
1105,2023-04-15,228,25.0,Mumbai,Electronics,6,100,50000.0
1106,2023-04-16,214,40.0,Mumbai,Clothing,6,500,30000.0
1107,2023-04-17,244,25.0,Delhi,Grocery,7,500,70000.0
1108,2023-04-18,264,,Pune,Electronics,4,1000,70000.0
1109,2023-04-19,288,40.0,Bangalore,Grocery,8,500,50000.0
1110,2023-04-20,270,35.0,Mumbai,Electronics,7,500,
1111,2023-04-21,208,25.0,,Clothing,9,100,90000.0
1112,2023-04-22,287,25.0,Mumbai,Grocery,7,1000,90000.0
1113,2023-04-23,200,40.0,,Electronics,3,,70000.0
1114,2023-04-24,207,35.0,Delhi,Clothing,3,100,50000.0
1115,2023-04-25,287,35.0,,Grocery,8,100,90000.0
1116,2023-04-26,262,,Bangalore,Grocery,5,,70000.0
1117,2023-04-27,210,35.0,Pune,Electronics,4,500,
1118,2023-04-28,280,35.0,,Electronics,8,200,90000.0
1119,2023-04-29,207,35.0,,Electronics,6,1000,70000.0
1120,2023-04-30,234,30.0,Pune,Clothing,2,200,70000.0
1121,2023-05-01,234,,Bangalore,Electronics,4,,30000.0
1122,2023-05-02,232,25.0,Mumbai,Grocery,4,100,
1123,2023-05-03,204,40.0,,Grocery,6,100,30000.0
1124,2023-05-04,240,25.0,Pune,Electronics,6,1000,50000.0
1125,2023-05-05,227,,Delhi,Electronics,1,100,30000.0
1126,2023-05-06,206,40.0,Pune,Grocery,8,100,30000.0
1127,2023-05-07,272,,Delhi,Clothing,6,1000,90000.0
1128,2023-05-08,271,35.0,Bangalore,Electronics,3,1000,70000.0
1129,2023-05-09,211,40.0,Mumbai,Electronics,9,,
1130,2023-05-10,233,35.0,Pune,Grocery,2,100,30000.0
1131,2023-05-11,232,25.0,,Electronics,8,100,
1132,2023-05-12,247,25.0,Bangalore,Clothing,3,,30000.0
1133,2023-05-13,222,40.0,Pune,Grocery,5,500,50000.0
1134,2023-05-14,261,40.0,,Electronics,6,500,30000.0
1135,2023-05-15,287,,Pune,Grocery,6,500,90000.0
1136,2023-05-16,236,,Delhi,Electronics,4,,70000.0
1137,2023-05-17,298,35.0,Pune,Electronics,3,100,50000.0
1138,2023-05-18,243,40.0,Pune,Electronics,4,,30000.0
1139,2023-05-19,285,25.0,Pune,Clothing,1,,
1140,2023-05-20,290,,Bangalore,Clothing,4,500,50000.0
1141,2023-05-21,234,,Pune,Grocery,1,200,50000.0
1142,2023-05-22,264,25.0,,Electronics,1,100,30000.0
1143,2023-05-23,298,,Delhi,Electronics,6,500,50000.0
1144,2023-05-24,246,35.0,Delhi,Clothing,5,200,
1145,2023-05-25,277,40.0,Pune,Electronics,4,200,50000.0
1146,2023-05-26,202,25.0,Bangalore,Clothing,3,1000,
1147,2023-05-27,200,40.0,Bangalore,Electronics,1,100,30000.0
1148,2023-05-28,204,,,Grocery,6,200,70000.0
1149,2023-05-29,289,,Pune,Electronics,2,500,50000.0
1150,2023-05-30,213,25.0,Delhi,Electronics,8,1000,70000.0
1151,2023-05-31,226,35.0,Bangalore,Clothing,5,100,
1152,2023-06-01,208,30.0,Pune,Electronics,7,,50000.0
1153,2023-06-02,278,25.0,Bangalore,Electronics,2,500,90000.0
1154,2023-06-03,214,30.0,Bangalore,Clothing,8,200,70000.0
1155,2023-06-04,289,30.0,Delhi,Grocery,2,200,50000.0
1156,2023-06-05,241,35.0,Mumbai,Grocery,4,500,70000.0
1157,2023-06-06,276,30.0,,Clothing,1,200,50000.0
1158,2023-06-07,250,30.0,,Clothing,5,1000,30000.0
1159,2023-06-08,262,35.0,Delhi,Clothing,9,100,70000.0
1160,2023-06-09,295,30.0,Bangalore,Clothing,1,1000,90000.0
1161,2023-06-10,251,30.0,Pune,Clothing,9,200,90000.0
1162,2023-06-11,295,30.0,Bangalore,Grocery,8,,
1163,2023-06-12,203,25.0,Delhi,Grocery,6,100,50000.0
1164,2023-06-13,293,25.0,,Clothing,7,100,70000.0
1165,2023-06-14,222,25.0,Bangalore,Electronics,3,500,
1166,2023-06-15,214,35.0,,Clothing,1,500,70000.0
1167,2023-06-16,242,,Pune,Electronics,5,,50000.0
1168,2023-06-17,228,30.0,,Clothing,2,100,90000.0
1169,2023-06-18,235,30.0,,Clothing,5,,30000.0
1170,2023-06-19,212,35.0,Mumbai,Grocery,8,500,90000.0
1171,2023-06-20,231,30.0,Mumbai,Electronics,9,500,
1172,2023-06-21,270,25.0,Mumbai,Electronics,2,100,30000.0
1173,2023-06-22,258,,,Grocery,3,1000,
1174,2023-06-23,285,40.0,Delhi,Grocery,3,200,50000.0
1175,2023-06-24,227,30.0,,Grocery,1,500,30000.0
1176,2023-06-25,265,25.0,Delhi,Grocery,8,500,
1177,2023-06-26,241,40.0,Delhi,Electronics,6,1000,50000.0
1178,2023-06-27,244,,Mumbai,Electronics,8,1000,90000.0
1179,2023-06-28,261,40.0,Bangalore,Clothing,9,,50000.0
1180,2023-06-29,256,25.0,Pune,Clothing,5,,70000.0
1181,2023-06-30,205,40.0,Mumbai,Grocery,3,200,50000.0
1182,2023-07-01,227,35.0,Mumbai,Grocery,5,200,50000.0
1183,2023-07-02,227,40.0,Bangalore,Grocery,5,100,70000.0
1184,2023-07-03,243,30.0,Pune,Clothing,5,,
1185,2023-07-04,283,30.0,,Clothing,3,500,
1186,2023-07-05,229,35.0,,Clothing,4,,50000.0
1187,2023-07-06,261,25.0,Mumbai,Clothing,9,500,70000.0
1188,2023-07-07,274,30.0,Pune,Clothing,9,1000,70000.0
1189,2023-07-08,291,,Mumbai,Clothing,2,,90000.0
1190,2023-07-09,288,30.0,Delhi,Clothing,8,1000,
1191,2023-07-10,261,30.0,Mumbai,Grocery,8,200,30000.0
1192,2023-07-11,296,25.0,Mumbai,Grocery,7,200,
1193,2023-07-12,200,40.0,,Grocery,8,100,
1194,2023-07-13,226,30.0,,Grocery,3,,90000.0
1195,2023-07-14,261,35.0,,Clothing,6,1000,30000.0
1196,2023-07-15,276,40.0,Delhi,Electronics,1,500,90000.0
1197,2023-07-16,202,,,Clothing,7,200,30000.0
1198,2023-07-17,269,25.0,Pune,Electronics,1,200,50000.0
1199,2023-07-18,271,,Bangalore,Grocery,9,500,30000.0
1200,2023-07-19,226,40.0,Pune,Clothing,1,1000,90000.0
1001,2023-01-01,251,25.0,Bangalore,Grocery,7,100,90000.0
1002,2023-01-02,292,,Bangalore,Grocery,3,200,
1003,2023-01-03,214,25.0,,Electronics,1,,
1004,2023-01-04,271,35.0,Bangalore,Electronics,5,500,30000.0
1005,2023-01-05,260,30.0,,Clothing,4,500,50000.0
